,Question,ResponseM,pid,language,negative,neutral,positive,sentiment,is_uncertain,vader_sentiment,vader_neg,vader_neu,vader_pos,vader_compound
0,2,protecting the elderly protecting children right to bare arms protecting workers right to free speech right to health care at reasonable costs,1890243c-fec2-eb11-a7ad-28187818aecc,en,0.00397979561239481,0.9454587697982788,0.050561413168907166,neutral,False,positive,0.0,0.755,0.245,0.7579
1,2,"amnesty international freedom of opinions, press fair trials, transparency democracy fair trade children's rights",62e4e4eb-9bb9-eb11-a7ad-28187818aecc,en,0.0021021722350269556,0.6650079488754272,0.3328899145126343,neutral,False,positive,0.0,0.556,0.444,0.8316
2,2,liberté droit d'un individus droit familial   ,7b8260c7-9bb9-eb11-a7ad-28187818aecc,fr,0.22310423851013184,0.6781336069107056,0.09876218438148499,neutral,False,positive,0.0,0.543,0.457,0.6369
3,1,family nature canadian rights freedom financial,9e78e854-9bb9-eb11-a7ad-28187818aecc,en,0.0019859280437231064,0.9474798440933228,0.05053423345088959,neutral,False,positive,0.0,0.543,0.457,0.6369
4,2,liberté respecter les autres manger a sa faim avoir logis dignité protection des enfants,31d268bb-9bb9-eb11-a7ad-28187818aecc,fr,0.057706914842128754,0.26708775758743286,0.6752053499221802,positive,False,positive,0.0,0.441,0.559,0.9136
5,2,égalité respect liberté famille s’exprimer etre écouter,25ae2752-eebe-eb11-a7ad-28187818aecc,fr,0.016920849680900574,0.20168110728263855,0.7813979983329773,positive,False,positive,0.0,0.552,0.448,0.8074
6,1,famille democracie respecter equitable securitaire libre,a92a5edf-9bb9-eb11-a7ad-28187818aecc,fr,0.06598745286464691,0.45641809701919556,0.47759440541267395,positive,True,neutral,0.0,0.617,0.383,0.4767
7,1,respect gentillesse honnetete integrite famille festif,9f5d9e78-eebe-eb11-a7ad-28187818aecc,fr,0.026712361723184586,0.04000141844153404,0.933286190032959,positive,False,positive,0.0,0.144,0.856,0.8979
8,1,family the right thing to do honesty integraty trustworthy respect,ec98f315-a2c3-eb11-a7ad-28187818aecc,en,0.007019142620265484,0.8118413090705872,0.18113960325717926,neutral,False,positive,0.0,0.414,0.586,0.872
9,1,wholesome family respect values equality caring,e10f6991-eebe-eb11-a7ad-28187818aecc,en,0.0016824440099298954,0.08798682689666748,0.9103307127952576,positive,False,positive,0.0,0.25,0.75,0.8402
10,1,famille economie ouverture respect intégrité bonheur,75c0a91b-eebe-eb11-a7ad-28187818aecc,fr,0.0029102195985615253,0.14891676604747772,0.8481730222702026,positive,False,positive,0.0,0.244,0.756,0.8519
11,1,respect multiculture family culture nothing else,bc24277f-9bb9-eb11-a7ad-28187818aecc,en,0.020030364394187927,0.8966419696807861,0.08332771807909012,neutral,False,neutral,0.0,0.617,0.383,0.4767
12,1,multiculturalism respect for everyone strong families compassion and caring  ,7daf05f2-9bb9-eb11-a7ad-28187818aecc,en,0.0005033792112953961,0.06807475537061691,0.9314218759536743,positive,False,positive,0.0,0.284,0.716,0.9118
13,1,family polite respectful   ,8ccf8c28-a2c3-eb11-a7ad-28187818aecc,en,0.001331968349404633,0.31899967789649963,0.6796683669090271,positive,False,neutral,0.0,0.4,0.6,0.4588
14,2,enfants respect    ,91fe69af-9bb9-eb11-a7ad-28187818aecc,fr,0.2348434329032898,0.21696634590625763,0.548190176486969,positive,False,neutral,0.0,0.244,0.756,0.4767
15,1,respect famille entreaide   ,6b0df721-7fbd-eb11-a7ad-28187818aecc,fr,0.09692542999982834,0.27116575837135315,0.6319088339805603,positive,False,neutral,0.0,0.492,0.508,0.4767
16,1,famille partage amour respect  ,251c5abb-7ebd-eb11-a7ad-28187818aecc,fr,0.012512625195086002,0.22857120633125305,0.7589161992073059,positive,False,positive,0.0,0.09,0.91,0.8779
17,2,santé respect rémunération équitable liberté égalité famille,ec5500f8-9bb9-eb11-a7ad-28187818aecc,fr,0.020457440987229347,0.30554527044296265,0.6739972829818726,positive,False,neutral,0.0,0.617,0.383,0.4767
18,1,équité respect droits humains famille  égalité des chances liberté,93d268bb-9bb9-eb11-a7ad-28187818aecc,fr,0.04242681711912155,0.5673062801361084,0.39026689529418945,neutral,True,positive,0.0,0.467,0.533,0.6908
19,1,family values respect care peace helpful commom sense,f8af05f2-9bb9-eb11-a7ad-28187818aecc,en,0.0056794011034071445,0.5354959964752197,0.4588245451450348,neutral,True,positive,0.0,0.164,0.836,0.936
20,1,fièrté le bilinguisme la famille nos grandes richesses naturelles l'égalité des personnes l'harmonie entres les peuples,610f6991-eebe-eb11-a7ad-28187818aecc,fr,0.010941259562969208,0.09480203688144684,0.8942566514015198,positive,False,positive,0.0,0.461,0.539,0.8934
